AK,0,0
AL,0,0.030940594
AL,1,0.5
AL,2,2.42557652
AL,3,16.53642384
AL,4,94.925
AL,5,134.3333333
AR,0,0.019677996
AR,1,0.301767677
AR,2,2.172259508
AR,3,12.37195122
AR,4,85.43333333
AZ,0,0
AZ,1,1.178082192
AZ,2,4.125
AZ,3,0
CA,0,0.025723473
CA,1,0.225806452
CA,2,2
CA,3,3
CO,0,0.002629849
CO,1,0.071186441
CO,2,0.909836066
CO,3,5.782608696
CO,4,0
CT,0,0.189189189
CT,1,0.112903226
CT,2,4
CT,3,15.5
CT,4,270
DC,0,0.2
DC,1,0
DE,0,0.166666667
DE,1,1.46875
DE,2,1.785714286
DE,3,0
FL,0,0.05075188
FL,1,0.52047952
FL,2,3.129909366
FL,3,28.56097561
FL,4,179
GA,0,0.104982206
GA,1,0.630484988
GA,2,2.922848665
GA,3,25.51851852
GA,4,79.08333333
HI,0,0.035714286
HI,1,0.111111111
HI,2,1
IA,0,0.006655574
IA,1,0.147486034
IA,2,0.966386555
IA,3,4.385245902
IA,4,6.775510204
IA,5,124.4285714
ID,0,0.034013605
ID,1,0.06557377
ID,2,0.2
IL,0,0.018032787
IL,1,0.277094972
IL,2,2.087470449
IL,3,8.3
IL,4,67.55882353
IL,5,178
IN,0,0.04206501
IN,1,0.281758958
IN,2,1.356913183
IN,3,9.150943396
IN,4,82.73684211
IN,5,59.2
KS,0,0.00234375
KS,1,0.094149909
KS,2,0.679487179
KS,3,3.241545894
KS,4,16.9375
KS,5,145.4444444
KY,0,0.035830619
KY,1,0.327122153
KY,2,2.03125
KY,3,17.34117647
KY,4,92.47826087
KY,5,186.6666667
LA,0,0.043785311
LA,1,0.370506912
LA,2,2.856338028
LA,3,7.41509434
LA,4,94.55555556
LA,5,264
MA,0,0.125
MA,1,0.413043478
MA,2,0.25
MA,3,36.83333333
MA,4,429.3333333
MD,0,0.010989011
MD,1,0.406779661
MD,2,2.285714286
MD,3,8.857142857
MD,4,63.5
ME,0,0.028571429
ME,1,0.182926829
ME,2,0.210526316
MI,0,0.032
MI,1,0.294663573
MI,2,1.637209302
MI,3,7.714285714
MI,4,81.47058824
MI,5,568
MN,0,0.005444646
MN,1,0.29057187
MN,2,1.981220657
MN,3,7.087719298
MN,4,32.12
MN,5,61.66666667
MO,0,0.023908524
MO,1,0.201402806
MO,2,1.844086022
MO,3,8.433333333
MO,4,35.86
MO,5,663
MS,0,0.035202086
MS,1,0.328767123
MS,2,1.933194154
MS,3,10.04347826
MS,4,92.92682927
MS,5,218.2222222
MT,0,0.010714286
MT,1,0.09375
MT,2,0.181818182
MT,3,1.272727273
MT,4,1
NC,0,0.044728435
NC,1,0.483985765
NC,2,2.658878505
NC,3,25.075
NC,4,69
ND,0,0.003925417
ND,1,0.064039409
ND,2,0.5
ND,3,1.358974359
ND,4,8.583333333
ND,5,75.33333333
NE,0,0.005603985
NE,1,0.118232044
NE,2,0.90881459
NE,3,3.118811881
NE,4,13.81081081
NE,5,25
NH,0,0
NH,1,0.255813953
NH,2,0.590909091
NH,3,1.5
NJ,0,0.088235294
NJ,1,0.364864865
NJ,2,0.714285714
NJ,3,3.142857143
NM,0,0.08172043
NM,1,0.193548387
NM,2,2.219512195
NM,3,2.5
NV,0,0
NV,1,0.125
NY,0,0.166666667
NY,1,0.399082569
NY,2,1.25
NY,3,8.619047619
NY,4,14
OH,0,0.020785219
OH,1,0.423762376
OH,2,2.579710145
OH,3,16
OH,4,81.95652174
OH,5,398.6
OK,0,0.035566094
OK,1,0.177023121
OK,2,1.136300417
OK,3,7.124401914
OK,4,30.921875
OK,5,198.3
OR,0,0.031914894
OR,1,0
OR,2,0.5
OR,3,150
PA,0,0.164705882
PA,1,0.397802198
PA,2,1.273255814
PA,3,13.75
PA,4,42.2
PA,5,60
PR,0,0
PR,1,0.333333333
RI,0,0.375
RI,1,0
RI,2,20
SC,0,0.031914894
SC,1,0.502192982
SC,2,2.886075949
SC,3,8.789473684
SC,4,71.06666667
SD,0,0.005235602
SD,1,0.167919799
SD,2,0.578947368
SD,3,1.650793651
SD,4,18.33333333
SD,5,1
TN,0,0.082589286
TN,1,0.828358209
TN,2,2.459770115
TN,3,20.19191919
TN,4,64.91666667
TN,5,36
TX,0,0.023779983
TX,1,0.237654321
TX,2,1.304936306
TX,3,5.97005988
TX,4,99.96491228
TX,5,205.1666667
UT,0,0.010989011
UT,1,0.571428571
UT,2,9
UT,3,0
VA,0,0.06402439
VA,1,0.401179941
VA,2,1.21
VA,3,12.41176471
VA,4,124
VI,0,0
VT,0,0
VT,1,0.19047619
VT,2,0.533333333
VT,3,0
WA,0,0
WA,1,0.025641026
WA,2,0
WA,3,100.6666667
WI,0,0.012844037
WI,1,0.528619529
WI,2,1.293040293
WI,3,6.93220339
WI,4,16.73684211
WI,5,95.33333333
WV,0,0.183673469
WV,1,0.460526316
WV,2,1.217391304
WV,3,8.875
WY,0,0.006912442
WY,1,0.056994819
WY,2,0.770491803
WY,3,3.066666667
WY,4,0
